layer,neuron,specialization_ratio,virtue_activation,neutral_activation,difference,effect_size,t_statistic,virtue_std,neutral_std
0,139,0.5602169632911682,0.15102596580982208,-0.2695847749710083,0.4206107407808304,2.0769333839416504,10.160039901733398,0.20088939368724823,0.20412816107273102
0,14,0.12504757940769196,-0.12593822181224823,1.0071223974227905,-1.1330606192350388,1.921652913093567,9.515231132507324,0.4569704234600067,0.6974959373474121
0,615,0.04331546276807785,-0.03107645735144615,-0.717444896697998,0.6863684393465519,1.8435577154159546,9.102347373962402,0.3093835413455963,0.4260352551937103
0,63,1.0474472045898438,0.2663445770740509,-0.2542797029018402,0.5206242799758911,1.8390957117080688,9.048619270324707,0.2533057928085327,0.3100206255912781
0,335,1.1068313121795654,-0.22643184661865234,0.20457665622234344,-0.4310085028409958,1.758353590965271,8.596771240234375,0.24535982310771942,0.24488092958927155
0,447,0.8271951079368591,15.579018592834473,18.833547592163086,-3.2545289993286133,1.7132800817489624,8.491275787353516,1.4365812540054321,2.270047426223755
0,466,0.2448812872171402,-0.07902417331933975,0.322704017162323,-0.40172819048166275,1.7065436840057373,8.356194496154785,0.2298358827829361,0.2408445030450821
0,236,1.96794855594635,0.35452282428741455,-0.1801484227180481,0.5346712470054626,1.697604775428772,8.341373443603516,0.2891272306442261,0.3388219475746155
0,46,0.1522091031074524,0.12222330272197723,0.802996039390564,-0.6807727366685867,1.6792963743209839,8.302277565002441,0.3266311585903168,0.47116538882255554
0,567,0.08333031833171844,0.05838068202137947,0.7005935311317444,-0.6422128491103649,1.677849531173706,8.386157989501953,0.21354828774929047,0.49740007519721985
1,127,0.01999674364924431,0.005811156239360571,-0.2906051278114319,0.29641628405079246,1.8098013401031494,8.9314603805542,0.13755585253238678,0.1863563507795334
1,28,0.03476811200380325,-0.01122773252427578,-0.3229318857192993,0.31170415319502354,1.7445590496063232,8.6446533203125,0.13581952452659607,0.21307402849197388
1,685,14.854116439819336,0.1834789216518402,-0.012352058663964272,0.19583098031580448,1.7290120124816895,8.6221923828125,0.06993459165096283,0.1441027820110321
1,428,0.07032269239425659,0.021723786368966103,0.30891573429107666,-0.28719194792211056,1.7099157571792603,8.497504234313965,0.1173405796289444,0.20651909708976746
1,141,0.15197592973709106,-0.04126505181193352,0.2715235948562622,-0.3127886466681957,1.7024317979812622,8.415619850158691,0.14847317337989807,0.2132357805967331
1,529,0.5668960809707642,0.11704988777637482,-0.20647503435611725,0.32352492213249207,1.694996953010559,8.434416770935059,0.127687469124794,0.23782137036323547
1,515,0.2911829352378845,0.07325839251279831,-0.2515888810157776,0.3248472735285759,1.6806738376617432,8.353682518005371,0.13426482677459717,0.23809728026390076
1,102,0.28703922033309937,-0.09946416318416595,0.3465176820755005,-0.44598184525966644,1.5921326875686646,7.935929775238037,0.17616356909275055,0.35481879115104675
1,530,1.0270413160324097,-0.13833899796009064,0.1346966177225113,-0.27303561568260193,1.5912989377975464,7.865809440612793,0.13884395360946655,0.1990024447441101
1,577,2.0116400718688965,0.15212467312812805,-0.07562221586704254,0.2277468889951706,1.5826454162597656,7.782020092010498,0.13033060729503632,0.1563005894422531
2,223,0.0678633525967598,-0.02043112739920616,0.30106276273727417,-0.32149389013648033,1.9072588682174683,9.311250686645508,0.17260241508483887,0.16442501544952393
2,99,11.827492713928223,-0.306453675031662,0.025910282507538795,-0.3323639575392008,1.7625162601470947,8.733811378479004,0.14326834678649902,0.22493141889572144
2,423,0.3346157968044281,-0.0604853481054306,0.18076059222221375,-0.24124594032764435,1.641950249671936,8.05623722076416,0.13850437104701996,0.1548912674188614
2,198,0.1666085422039032,0.03457488492131233,-0.20752167701721191,0.24209656193852425,1.6312530040740967,7.997859477996826,0.14173553884029388,0.15479961037635803
2,529,0.08939392864704132,-0.022423142567276955,-0.2508351802825928,0.22841203771531582,1.630009651184082,7.959127426147461,0.14309774339199066,0.13709647953510284
2,230,0.3400219976902008,0.07303282618522644,-0.2147885262966156,0.28782135248184204,1.6227765083312988,8.062580108642578,0.12482666969299316,0.21756361424922943
2,645,87.45545959472656,0.22724422812461853,-0.002598399529233575,0.2298426276538521,1.5947535037994385,7.838913917541504,0.1313774734735489,0.15583176910877228
2,659,1.0507358312606812,0.15183638036251068,-0.14450481534004211,0.2963411957025528,1.5632208585739136,7.753641128540039,0.14026951789855957,0.2284703552722931
2,154,0.28436675667762756,0.049043890088796616,-0.17246702313423157,0.22151091322302818,1.538851261138916,7.532055854797363,0.14148113131523132,0.146368607878685
2,577,0.42292192578315735,0.0766851082444191,-0.1813221424818039,0.258007250726223,1.5288368463516235,7.538095474243164,0.14455154538154602,0.1899080127477646
3,698,1.103468894958496,-0.16843737661838531,0.15264351665973663,-0.32108089327812195,1.8323289155960083,8.903261184692383,0.19203011691570282,0.15664055943489075
3,239,0.28916165232658386,0.06751783937215805,-0.23349513113498688,0.30101297050714493,1.8073725700378418,8.824051856994629,0.17040576040744781,0.16259722411632538
3,216,1.0540271997451782,-0.1441052407026291,0.13671870529651642,-0.2808239459991455,1.7409230470657349,8.564349174499512,0.1447513997554779,0.17631572484970093
3,656,1.0522066354751587,-0.1449328064918518,0.13774177432060242,-0.2826745808124542,1.7099645137786865,8.347740173339844,0.16937017440795898,0.16114795207977295
3,55,0.009652156382799149,-0.0025876734871417284,0.2680927813053131,-0.27068045479245484,1.59231698513031,7.798888683319092,0.1652517020702362,0.17460277676582336
3,453,1.2213431596755981,0.13557279109954834,-0.11100302636623383,0.24657581746578217,1.5562453269958496,7.704173564910889,0.12350054830312729,0.18696478009223938
3,85,0.6088787317276001,0.08301366865634918,-0.13633859157562256,0.21935226023197174,1.5467510223388672,7.536346435546875,0.1495480090379715,0.13363489508628845
3,54,0.711789071559906,-0.10109587758779526,0.14203067123889923,-0.2431265488266945,1.542970061302185,7.573629379272461,0.14746874570846558,0.16706249117851257
3,32,0.10868379473686218,0.025434382259845734,-0.2340218424797058,0.25945622473955154,1.4944862127304077,7.3352179527282715,0.16265130043029785,0.1839149296283722
3,255,0.572280764579773,0.10521122813224792,-0.18384547531604767,0.2890567034482956,1.480374813079834,7.289466857910156,0.1719500571489334,0.2160681188106537
4,181,0.9832229018211365,0.15665927529335022,-0.15933240950107574,0.31599168479442596,2.0489377975463867,10.111689567565918,0.1295025795698166,0.1754937320947647
4,691,1.2228269577026367,0.18358401954174042,-0.15013082325458527,0.3337148427963257,2.048769950866699,10.054817199707031,0.15286003053188324,0.17232859134674072
4,5,1.4058246612548828,-0.22931089997291565,0.16311486065387726,-0.3924257606267929,1.7968195676803589,8.89802074432373,0.16881121695041656,0.25865045189857483
4,741,0.692680299282074,-0.12972921133041382,0.18728584051132202,-0.31701505184173584,1.6596077680587769,8.136610984802246,0.1825307011604309,0.19914400577545166
4,312,0.4732968509197235,0.0947059839963913,-0.20009848475456238,0.2948044687509537,1.5205661058425903,7.452841281890869,0.18616537749767303,0.20129546523094177
